Year,Type of Crime,Date,Time,Latitude,Longitude,Location,Arrest
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.78065939,-87.71209692,RESIDENCE-GARAGE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.77613373,-87.76726863,STREET,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.77691899,-87.71669378,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.78025931,-87.6897688,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.89773435,-87.7468755,APARTMENT,TRUE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.75022495,-87.66465066,STREET,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.83815115,-87.63818406,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.87924601,-87.64496175,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.98423772,-87.65520819,RESIDENCE-GARAGE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.95433315,-87.72923613,OTHER,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.89011721,-87.64517191,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.9309095,-87.79333255,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.90060978,-87.68696387,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.90181081,-87.69810401,STREET,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.96392281,-87.779578,,FALSE
2017,CRIMINAL TRESPASS,2/10/2018,3:50:00 PM,42.0167551,-87.66529179,ALLEY,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.97456763,-87.66323214,RESIDENCE PORCH/HALLWAY,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,42.01998844,-87.66824621,ALLEY,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.73662906,-87.6062682,RESTAURANT,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.87695498,-87.73623703,STREET,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.70269567,-87.62696357,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.87294826,-87.68948605,RESIDENTIAL YARD (FRONT/BACK),FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.87791714,-87.71579723,APARTMENT,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.68033269,-87.6590417,RESIDENCE-GARAGE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.85482707,-87.71123655,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.88547851,-87.63682292,RESTAURANT,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.96801033,-87.76748157,DRUG STORE,FALSE
